gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_422216_1	2	397	396	-1	0.452	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_422216_2	410	1609	1200	-1	0.525	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_422216_3	1661	2344	684	-1	0.501	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_422216_4	2373	3038	666	-1	0.539	11	None	GENOMAD.126777.CP	7.832e-11	64	0	0	0	2561	Caudoviricetes	NA	NA	PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain; TOBE domain
k121_499828_1	2	160	159	-1	0.654	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_499828_2	266	1333	1068	1	0.621	11	AGGA	GENOMAD.141029.CP	3.241e-29	123	0	0	0	1	NA	NA	NA	PF12625	Arabinose-binding domain of AraC transcription regulator, N-term
k121_499828_3	1633	2559	927	-1	0.603	11	None	GENOMAD.213977.PC	1.854e-36	143	0	0	0	1	NA	NA	NA	NA	NA
k121_156286_1	3	2507	2505	1	0.363	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_156286_2	2516	2737	222	1	0.414	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_156286_3	2759	2971	213	1	0.347	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_156286_4	3153	3422	270	1	0.452	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_156286_5	3422	3700	279	1	0.419	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_156286_6	3743	4669	927	1	0.396	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_268230_1	2	1048	1047	1	0.561	11	None	GENOMAD.108687.PC	1.014e-41	160	0	1	0	1	NA	virb4	NA	PF19044;PF03135;PF05101;K03199;TIGR00929;COG3451	type IV secretion/conjugal transfer ATPase, VirB4 family
k121_235077_1	168	1652	1485	1	0.337	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_235077_2	1805	2173	369	1	0.341	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_235077_3	2206	2622	417	1	0.295	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_102938_1	2	505	504	-1	0.605	11	GGAGG	GENOMAD.171558.PC	3.428e-36	136	0	0	0	1	NA	NA	NA	PF02321;K15725;TIGR01845;COG1538	efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
k121_102938_2	502	819	318	-1	0.629	11	AGGAG	GENOMAD.212945.PC	1.868e-31	119	0	0	0	1	NA	NA	NA	NA	NA
k121_102938_3	974	1660	687	1	0.601	11	GGAG/GAGG	GENOMAD.036345.CC	3.594e-07	53	0	0	0	1	NA	NA	NF033117	PF03709;K11329;TIGR01387;COG3947	heavy metal response regulator
k121_102938_4	1661	3046	1386	1	0.627	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_102938_5	3006	3524	519	-1	0.607	11	GGA/GAG/AGG	GENOMAD.082189.VV	6.052e-06	48	0	0	1	2561	Caudoviricetes	NA	NA	PF00959;COG3772	Phage-related lysozyme (muramidase), GH24 family
k121_102938_6	3584	3907	324	1	0.617	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_102938_7	3915	4274	360	1	0.572	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_102938_8	4476	4769	294	1	0.599	11	AGGA	GENOMAD.061808.PP	1.325e-23	96	0	0	0	1	NA	NA	NA	PF11525;TIGR00156	Copper resistance protein K
k121_102938_9	5270	5533	264	1	0.538	11	AGGAG	GENOMAD.129458.PC	7.117e-18	79	0	0	0	1	NA	NA	NA	PF11666	NA
k121_102938_10	5624	5773	150	-1	0.647	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_535738_1	1	396	396	-1	0.359	11	GGA/GAG/AGG	GENOMAD.084811.PC	3.758e-19	85	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_535738_2	383	1090	708	-1	0.371	11	None	GENOMAD.082259.PC	8.045e-25	106	0	1	0	1	NA	F_traN	NA	PF06986;PF09673;TIGR02750;K12058	type-F conjugative transfer system mating-pair stabilization protein TraN
k121_502528_1	1	465	465	-1	0.413	11	None	GENOMAD.172051.PC	2.666e-14	72	0	0	0	1	NA	NA	NA	PF15902;K18578;COG4692	Sortilin, neurotensin receptor 3,
k121_502528_2	452	2560	2109	-1	0.443	11	GGA/GAG/AGG	GENOMAD.133674.PC	1.616e-06	54	0	0	0	1	NA	NA	NA	PF19335;TIGR00622;COG3350	NA
k121_502528_3	2582	3979	1398	-1	0.444	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_502528_4	4041	5255	1215	-1	0.457	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_502528_5	5252	5383	132	-1	0.477	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_114552_1	3	374	372	1	0.422	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_114552_2	499	759	261	1	0.387	11	GGAG/GAGG	GENOMAD.095277.PP	5.097e-06	45	0	0	0	1	NA	NA	NA	COG4456	Virulence-associated protein VagC (function unknown)
k121_114552_3	756	935	180	1	0.333	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_114552_4	1209	2603	1395	-1	0.475	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_114552_5	2650	3057	408	-1	0.483	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_114552_6	3123	3458	336	-1	0.378	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_325646_1	3	101	99	1	0.364	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
